GeneID,Exp_leaf,Exp_bud
MgIM767.03G100200,630.119562099577,145.46040067511
MgIM767.14G155300,626.017323234361,292.766026765537
MgIM767.06G018000,624.460878891029,65.3723746749776
MgIM767.10G073600,622.623301414113,663.427719695612
MgIM767.05G058600,620.046541017571,58.8255069073905
MgIM767.04G045800,619.608720791198,904.011471043579
MgIM767.06G059100,618.777970693246,70.3371035925735
MgIM767.14G051100,618.233208358191,51.5051185687598
MgIM767.05G092800,612.616122335947,71.7108720436482
MgIM767.14G221400,608.737429638549,138.810570398542
MgIM767.10G081900,608.263481933014,9.97257923849275
MgIM767.02G022800,607.178003752491,4310.76035929086
MgIM767.12G162800,605.959501684976,1492.39786254122
MgIM767.04G087500,602.10730559995,101.283925466468
MgIM767.08G098600,601.625263801828,273.573823561683
MgIM767.01G111600,599.811388161484,86.5411740082546
MgIM767.02G010000,598.996224210817,1436.22751361792
MgIM767.14G203400,595.938104960986,672.867038837075
MgIM767.05G037900,589.672568511289,1000.41265101194
MgIM767.06G013700,587.880062863163,36.5412838193009
MgIM767.04G217800,584.937353370515,623.836176308901
MgIM767.02G139100,580.638283335977,121.870741551488
MgIM767.06G154800,580.346915566454,1337.44735182089
MgIM767.14G260500,580.01603388108,1085.30931823512
MgIM767.12G084900,578.366062405974,91.0681956539538
MgIM767.11G123100,576.761788569401,163.76451211666
MgIM767.08G216200,574.798314808193,310.460401003546
MgIM767.13G173700,568.829696248333,969.973559939589
MgIM767.07G064600,564.666624236077,406.268769028713
MgIM767.10G004200,561.389900150256,629.801730541843
MgIM767.10G085100,561.219142665246,239.263867741554
MgIM767.10G033500,559.512877554651,2279.09286575012
MgIM767.01G105900,558.82354484802,16.1038215275564
MgIM767.12G155200,556.358966205519,794.001759919405
MgIM767.02G148700,556.309105465868,82.6245500193802
MgIM767.03G082200,555.530712207056,115.032611665907
MgIM767.06G162600,551.650600070633,77.7754185583137
MgIM767.04G159800,545.113881380715,199.03198456849
MgIM767.03G124000,545.10422798415,140.577909523878
MgIM767.06G120600,543.962197785404,26.0118893695657
MgIM767.01G001300,543.70656518281,889.590270489894
MgIM767.08G042500,541.751941451514,22.3759434111198
MgIM767.06G060000,537.197599451198,123.932079374879
MgIM767.02G036600,534.149065664842,654.637422728346
MgIM767.04G141000,533.735880235147,47.5786736236467
MgIM767.08G137000,532.226539349823,385.675660799598
MgIM767.08G008200,531.021511128461,280.450273914923
MgIM767.13G128300,530.497626945153,951.396422359304
MgIM767.11G119700,529.971631000424,920.253493025557
MgIM767.11G043900,528.692311398341,72.8691131451282
MgIM767.02G016400,520.187909122795,216.840291716763
MgIM767.08G025200,518.586529533876,285.400376311891
MgIM767.05G080200,518.461929624972,534.151033700774
MgIM767.07G028400,516.80990744214,17.7427389044132
MgIM767.09G072400,512.759733022297,190.322270333704
MgIM767.04G012100,512.556868509791,419.521003007449
MgIM767.10G115100,509.779028477994,169.928487051097
MgIM767.07G073900,509.376206422669,795.079755875421
MgIM767.02G008700,509.19895763943,241.121960136379
MgIM767.10G123900,507.715342928059,160.554456862024
MgIM767.06G029100,507.257702620288,730.741587862227
MgIM767.04G140800,506.207534943738,147.848554654447
MgIM767.14G125000,503.677386310613,82.9322924514949
MgIM767.02G050200,502.602265171999,161.302160768399
MgIM767.14G253900,500.366111722324,285.498218187302
MgIM767.04G080000,499.175070691608,1031.06835043762
MgIM767.06G069500,499.063180757451,479.235318238221
MgIM767.03G005800,498.999137012208,141.515214655432
MgIM767.04G173900,498.891795334751,161.732854354297
MgIM767.04G082100,497.688136230354,446.993315900569
MgIM767.13G089300,496.907737610922,889.707082200868
MgIM767.14G307100,496.82011891039,120.257431945682
MgIM767.02G122100,495.398704761284,162.334273081261
MgIM767.08G128400,495.126608356739,94.5213138967243
MgIM767.14G164200,494.904876967962,185.14988645013
MgIM767.08G158400,492.134778719078,1306.73063447314
MgIM767.02G138000,489.27754492646,176.865363262328
MgIM767.14G220400,484.532203447334,2.81577665430424
MgIM767.14G135600,484.278830427656,89.316706745919
MgIM767.14G234700,480.852295100469,356.549163887764
MgIM767.13G074500,477.14061146779,217.811672964592
MgIM767.10G141000,475.052165317678,436.807453211182
MgIM767.03G099700,475.004285329951,128.788545381311
MgIM767.11G031100,474.5472978789,113.917712941072
MgIM767.02G034800,467.553304982896,66.655441692533
MgIM767.04G186100,465.812342016356,54.4824692842854
MgIM767.10G171700,464.268084143258,52.8867316144335
MgIM767.12G000500,462.016691156574,308.812840651152
MgIM767.14G052000,461.920258395447,239.645138387634
MgIM767.01G056300,461.875721373643,41.2132438889853
MgIM767.11G089300,460.716313566347,181.29231606654
MgIM767.01G088400,459.692596557513,283.473158239933
MgIM767.14G298800,459.310018516726,165.182397214889
MgIM767.14G064500,455.011876412946,64.9165333719786
MgIM767.13G058200,451.998615784322,208.274117572654
MgIM767.09G078200,447.806801278287,111.326860584477
MgIM767.09G007100,446.748252659438,51.6832692847225
MgIM767.09G055000,444.931703380917,54.0309219088834
MgIM767.14G270600,444.600952828384,73.8647012575461
MgIM767.02G084900,443.914906793689,263.203716579528
MgIM767.09G112000,441.171346088011,342.628355911577
MgIM767.04G007300,440.874100536044,148.355239791693
MgIM767.09G054100,439.423575143854,881.421795152323
MgIM767.05G056800,439.286189494056,68.165601342991
MgIM767.11G020700,438.914540578037,599.853715199849
MgIM767.02G049500,438.700555553697,67.1583906780524
MgIM767.14G116900,438.145646962562,2776.22343609675
MgIM767.14G210500,437.93294013466,737.525577087264
MgIM767.10G098600,436.373202116249,106.072802774101
MgIM767.13G099400,434.652998642406,106.073519425413
MgIM767.03G062700,433.584484212212,6.23502492857284
MgIM767.12G169900,432.36016429312,806.74279073347
MgIM767.04G076700,432.122081491502,1557.28519361061
MgIM767.14G292700,432.003137401366,27.4804854973788
MgIM767.14G169600,431.837648146117,212.396911191247
MgIM767.05G043200,430.746734461685,220.592275241626
MgIM767.09G101600,428.526406665384,165.89308800196
MgIM767.06G092300,428.176371609294,0.497456914066577
MgIM767.02G109100,427.735862538206,37.1196749137766
MgIM767.06G033200,425.505244274713,654.35318661533
MgIM767.06G179900,424.582653294755,46.106056454449
MgIM767.09G089300,424.494451600458,21.4905565906878
MgIM767.09G083500,423.424786286478,520.109451822354
MgIM767.09G034500,419.144005922207,36.7878824720414
MgIM767.02G064600,416.70470735092,705.756420437683
MgIM767.10G088800,414.870382723558,119.146673472977
MgIM767.08G219200,414.608148667695,799.229261342676
MgIM767.11G031800,414.602554443134,131.809061723646
MgIM767.06G048800,414.347689455729,780.390424590259
MgIM767.09G049800,413.526113704907,76.2573452494727
MgIM767.07G038100,411.654729208223,262.124550626849
MgIM767.04G043700,411.06247631156,632.41305389436
MgIM767.08G191300,410.613670080665,77.0712986625042
MgIM767.14G001900,409.957367474968,125.5633905133
MgIM767.04G074800,407.570227127079,37.868256292877
MgIM767.04G024400,407.199052548843,18.7543975471126
MgIM767.10G113400,405.037744532253,63.3622056851146
MgIM767.11G016300,403.886841413043,110.687878964906
MgIM767.14G157000,402.458291476504,172.691716343515
MgIM767.12G068000,402.189761643071,34.9585252858236
MgIM767.14G066800,401.898874611873,597.086027135958
